# t[s]	Prec [mm]
0	0.0000
3600	0.0000
7200	0.0000
10800	0.0000
14400	0.0000
18000	0.0000
21600	0.0000
25200	0.0000
28800	0.0000
32400	0.0000
36000	0.0000
39600	0.0000
43200	0.0000
46800	0.0000
50400	0.0000
54000	0.0000
57600	0.0000
61200	0.0000
64800	0.0000
68400	0.0000
72000	0.0000
75600	0.0000
79200	0.0000
82800	0.0000
86400	0.0007
90000	0.0013
93600	0.0021
97200	0.0035
100800	0.0049
104400	0.0049
108000	0.0039
111600	0.0063
115200	0.0068
118800	0.0062
122400	0.0057
126000	0.0039
129600	0.0031
133200	0.0033
136800	0.0040
140400	0.0050
144000	0.0037
147600	0.0032
151200	0.0035
154800	0.0051
158400	0.0050
162000	0.0050
165600	0.0049
169200	0.0040
172800	0.0000
176400	0.0000
180000	0.0000
183600	0.0000
187200	0.0000
190800	0.0000
194400	0.0000
198000	0.0000
201600	0.0000
205200	0.0000
208800	0.0000
212400	0.0000
216000	0.0000
219600	0.0000
223200	0.0000
226800	0.0000
230400	0.0000
234000	0.0000
237600	0.0000
241200	0.0000
244800	0.0000
248400	0.0000
252000	0.0000
255600	0.0000
259200	0.0000
262800	0.0000
266400	0.0000
270000	0.0000
273600	0.0000
277200	0.0000
280800	0.0000
284400	0.0000
288000	0.0000
291600	0.0000
295200	0.0000
298800	0.0000
302400	0.0000
306000	0.0000
309600	0.0000
313200	0.0000
316800	0.0000
320400	0.0000
324000	0.0000
327600	0.0000
331200	0.0000
334800	0.0000
338400	0.0000
342000	0.0000
345600	0.0000
349200	0.0000
352800	0.0000
356400	0.0000
360000	0.0000
363600	0.0000
367200	0.0003
370800	0.0023
374400	0.0029
378000	0.0064
381600	0.0216
385200	0.0486
388800	0.0775
392400	0.1260
396000	0.2069
399600	0.2797
403200	0.2628
406800	0.2445
410400	0.1362
414000	0.0952
417600	0.0471
421200	0.0252
424800	0.0126
428400	0.0042
432000	0.0000
435600	0.0000
439200	0.0000
442800	0.0000
446400	0.0000
450000	0.0000
453600	0.0000
457200	0.0000
460800	0.0000
464400	0.0000
468000	0.0000
471600	0.0000
475200	0.0000
478800	0.0000
482400	0.0000
486000	0.0000
489600	0.0000
493200	0.0000
496800	0.0000
500400	0.0000
504000	0.0000
507600	0.0000
511200	0.0000
514800	0.0000
518400	0.0000
522000	0.0000
525600	0.0000
529200	0.0000
532800	0.0000
536400	0.0000
540000	0.0000
543600	0.0000
547200	0.0000
550800	0.0000
554400	0.0000
558000	0.0000
561600	0.0000
565200	0.0000
568800	0.0000
572400	0.0000
576000	0.0000
579600	0.0000
583200	0.0000
586800	0.0000
590400	0.0000
594000	0.0000
597600	0.0000
601200	0.0000
604800	0.0000
608400	0.0000
612000	0.0000
615600	0.0000
619200	0.0000
622800	0.0000
626400	0.0000
630000	0.0000
633600	0.0000
637200	0.0000
640800	0.0000
644400	0.0000
648000	0.0000
651600	0.0000
655200	0.0000
658800	0.0000
662400	0.0000
666000	0.0000
669600	0.0000
673200	0.0000
676800	0.0000
680400	0.0000
684000	0.0000
687600	0.0000
691200	0.0000
694800	0.0000
698400	0.0000
702000	0.0000
705600	0.0000
709200	0.0000
712800	0.0000
716400	0.0000
720000	0.0000
723600	0.0000
727200	0.0000
730800	0.0000
734400	0.0000
738000	0.0000
741600	0.0000
745200	0.0000
748800	0.0000
752400	0.0000
756000	0.0000
759600	0.0000
763200	0.0000
766800	0.0000
770400	0.0000
774000	0.0000
777600	0.0000
781200	0.0000
784800	0.0000
788400	0.0000
792000	0.0000
795600	0.0000
799200	0.0000
802800	0.0000
806400	0.0000
810000	0.0000
813600	0.0000
817200	0.0000
820800	0.0000
824400	0.0000
828000	0.0000
831600	0.0000
835200	0.0000
838800	0.0000
842400	0.0000
846000	0.0000
849600	0.0000
853200	0.0000
856800	0.0000
860400	0.0000
864000	0.0000
867600	0.0000
871200	0.0000
874800	0.0000
878400	0.0000
882000	0.0000
885600	0.0000
889200	0.0000
892800	0.0000
896400	0.0000
900000	0.0000
903600	0.0000
907200	0.0000
910800	0.0000
914400	0.0000
918000	0.0000
921600	0.0000
925200	0.0000
928800	0.0000
932400	0.0000
936000	0.0000
939600	0.0000
943200	0.0000
946800	0.0000
950400	0.0083
954000	0.0182
957600	0.0132
961200	0.0182
964800	0.0248
968400	0.0116
972000	0.0397
975600	0.0083
979200	0.0215
982800	0.0281
986400	0.0000
990000	0.0083
993600	0.0000
997200	0.0000
1000800	0.0000
1004400	0.0000
1008000	0.0000
1011600	0.0000
1015200	0.0000
1018800	0.0000
1022400	0.0000
1026000	0.0000
1029600	0.0000
1033200	0.0000
1036800	0.0001
1040400	0.0000
1044000	0.0000
1047600	0.0001
1051200	0.0002
1054800	0.0002
1058400	0.0003
1062000	0.0017
1065600	0.0005
1069200	0.0007
1072800	0.0008
1076400	0.0000
1080000	0.0000
1083600	0.0037
1087200	0.0306
1090800	0.0441
1094400	0.0148
1098000	0.0019
1101600	0.0000
1105200	0.0001
1108800	0.0001
1112400	0.0000
1116000	0.0000
1119600	0.0000
1123200	0.0000
1126800	0.0000
1130400	0.0000
1134000	0.0000
1137600	0.0000
1141200	0.0000
1144800	0.0000
1148400	0.0000
1152000	0.0000
1155600	0.0000
1159200	0.0000
1162800	0.0000
1166400	0.0000
1170000	0.0000
1173600	0.0000
1177200	0.0000
1180800	0.0000
1184400	0.0000
1188000	0.0000
1191600	0.0000
1195200	0.0000
1198800	0.0000
1202400	0.0000
1206000	0.0000
1209600	0.0000
1213200	0.0000
1216800	0.0000
1220400	0.0000
1224000	0.0000
1227600	0.0000
1231200	0.0000
1234800	0.0000
1238400	0.0000
1242000	0.0000
1245600	0.0000
1249200	0.0000
1252800	0.0000
1256400	0.0000
1260000	0.0000
1263600	0.0000
1267200	0.0000
1270800	0.0000
1274400	0.0000
1278000	0.0000
1281600	0.0000
1285200	0.0000
1288800	0.0000
1292400	0.0000
1296000	0.0000
1299600	0.0000
1303200	0.0000
1306800	0.0000
1310400	0.0000
1314000	0.0000
1317600	0.0000
1321200	0.0000
1324800	0.0000
1328400	0.0000
1332000	0.0000
